Atom1_COD_type        Atom2_COD_type        Atom1_id       Atom2_ID   Bond_length       BondInRing
C(NCCH)(H)3	N(C[6]CCH)(CH3)2(H)	H(CHHN)	C22	N10	H22C	107.231
C(NCCH)(H)3	N(C[6]CCH)(CH3)2(H)	H(CHHN)	C22	N10	H22B	109.334
C(NCCH)(H)3	H(CHHN)	H(CHHN)	C22	H22C	H22A	112.443
C(NCCH)(H)3	H(CHHN)	H(CHHN)	C22	H22B	H22A	103.073
C(NCCH)(H)3	H(CHHN)	H(CHHN)	C22	H22B	H22C	115.42
C[6](C[6]CH)(C[6]CO)(H)	C[6](C[6,6]CC)(C[6]CH)(OH)	C[6](C[6]CH)2(H)	C2	C1	C3	119.185
C[6](C[6]CH)(C[6]CO)(H)	C[6](C[6]CH)2(H)	H(C[6]CC)	C2	C3	H2	123.447
C[6](C[6]CH)(C[6]CO)(H)	C[6](C[6,6]CC)(C[6]CH)(OH)	H(C[6]CC)	C2	C1	H2	117.343
C[6](C[6]CH)2(H)	C[6](C[6]CH)(C[6]CO)(H)	H(C[6]CC)	C3	C2	H3	121.742
C[6](C[6]CH)2(H)	C[6](C[6,6]CC)(C[6]CH)(H)	C[6](C[6]CH)(C[6]CO)(H)	C3	C4	C2	122.1
C[6](C[6]CH)2(H)	C[6](C[6,6]CC)(C[6]CH)(H)	H(C[6]CC)	C3	C4	H3	116.053

